Sample1	Sample2	Distance	Species_2	Species_1	Comparison
Andreas166	AH.067	0.993564862	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.057	0.991425509	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.057	0.991425509	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.052	0.992648831	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.052	0.992648831	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.058	0.992069026	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.058	0.992069026	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.055	0.996764209	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.055	0.996764209	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.068	0.995135871	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.068	0.995135871	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.053	0.989346827	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.053	0.989346827	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.157	0.934666667	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.157	0.934666667	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.065	0.990999011	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas166	AH.065	0.990999011	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.052	0.951586605	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.052	0.951586605	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.058	0.979348689	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.058	0.979348689	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.055	0.979682358	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.055	0.979682358	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.067	0.995872611	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.067	0.995872611	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.057	0.974275125	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.057	0.974275125	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.157	0.953731995	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.157	0.953731995	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.068	0.978642057	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.068	0.978642057	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.065	0.987192216	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.065	0.987192216	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.053	0.986241902	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas167	AH.053	0.986241902	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.057	0.992217621	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
Andreas168	AH.057	0.992217621	Lithobates warszewitschii (Pan.)	Ngäbe-Buglé leopard frog (Pan.)	Lithobates warszewitschii (Pan.):Ngäbe-Buglé leopard frog (Pan.)
